Incident Datetime,Week of Year,Number of Weeks Into Pilot,Site,Shuttle - NCDOT,Route - NCDOT,Location,Weather,Vehicle Speed,Initiated by,Cause,Obstacle Detection,Signal Loss,Fault/Error Code,Signalized Intersection,Safety In/Out,Deviation from Path,Station Blocked,Priority Zone,Other Road Users,Vulnerable Road Users,Vegetation,Weather2,Additional Information
2023-03-07T05:00:00-05:00,10,1,NCDOT,P88,Cary Bond Park,"35.7849964, -78.8268094",Sunny;,2.0,Operator,Fault Code/Error Code,,,Fault Code/Error Code prevented the shuttle from autonomous operation. Shuttle attendant navigated in manual mode to next safe stop location,,,,,,,,,,
2023-03-07T09:00:00-05:00,10,1,NCDOT,P88,Cary Bond Park,"35.7847312, -78.8245051",Sunny;,5.0,Operator,Station Blocked,,,,,,,"Station was blocked, preventing autonomous operation into/out of the designated stop station. Shuttle attendant navigated in manual mode to stop, then resumed in autonomous mode.",,,,,,
2023-03-07T10:15:00-05:00,10,1,NCDOT,P88,Cary Bond Park,"35.7824658, -78.8244159",Sunny;,4.0,Operator,Station Blocked,,,,,,,"Station was blocked, preventing autonomous operation into/out of the designated stop station. Shuttle attendant navigated in manual mode to stop, then resumed in autonomous mode.",,,,,,
2023-03-07T11:15:00-05:00,10,1,NCDOT,P88,Cary Bond Park,"35.7824658, -78.8244159",Sunny;,5.0,Operator,Station Blocked,,,,,,,"Station was blocked, preventing autonomous operation into/out of the designated stop station. Shuttle attendant navigated in manual mode to stop, then resumed in autonomous mode.",,,,,,
2023-03-08T05:00:00-05:00,10,1,NCDOT,P88,Cary Bond Park,"35.7852558, -78.8273737",Sunny;,2.0,Operator,Shuttle Manually Deviated From Approved Path,,,Fault Code/Error Code prevented the shuttle from autonomous operation. Shuttle attendant navigated in manual mode to next safe stop location,,,,,,,,,,Engaging manual mode to leave the garage.
2023-03-08T10:30:00-05:00,10,1,NCDOT,P88,Cary Bond Park,"35.7814962, -78.8255481",Sunny;,4.0,Operator,Other Road Users,,,,,,,,,A vehicle was detected as an obstacle due to close proximity to the shuttles path. Shuttle attendant navigated around vehicle in manual mode and returned to autonomous mode.,,,,
2023-03-08T10:50:00-05:00,10,1,NCDOT,P88,Cary Bond Park,"35.7812636, -78.8255826",Sunny;,1.0,Operator,Station Blocked,,,,,,,"Station was blocked, preventing autonomous operation into/out of the designated stop station. Shuttle attendant navigated in manual mode to stop, then resumed in autonomous mode.",,,,,,
2023-03-09T05:00:00-05:00,10,1,NCDOT,P88,Cary Bond Park,"35.7853663, -78.827311",Sunny;,3.0,Operator,Shuttle Manually Deviated From Approved Path,,,Fault Code/Error Code prevented the shuttle from autonomous operation. Shuttle attendant navigated in manual mode to next safe stop location,,,,,,,,,,Engaging manual mode to leave the garage.
2023-03-09T06:57:00-05:00,10,1,NCDOT,P88,Cary Bond Park,"35.7813384, -78.8256708",Sunny;,2.0,Operator,Station Blocked,,,,,,,"Station was blocked, preventing autonomous operation into/out of the designated stop station. Shuttle attendant navigated in manual mode to stop, then resumed in autonomous mode.",,,,,,
2023-03-09T08:43:00-05:00,10,1,NCDOT,P88,Cary Bond Park,"35.7813341, -78.825652",Sunny;,3.0,Operator,Station Blocked,,,,,,,"Station was blocked, preventing autonomous operation into/out of the designated stop station. Shuttle attendant navigated in manual mode to stop, then resumed in autonomous mode.",,,,,,
2023-03-09T09:30:00-05:00,10,1,NCDOT,P88,Cary Bond Park,"35.7813341, -78.825652",Sunny;,3.0,Operator,Station Blocked,,,,,,,"Station was blocked, preventing autonomous operation into/out of the designated stop station. Shuttle attendant navigated in manual mode to stop, then resumed in autonomous mode.",,,,,,
2023-03-09T10:00:00-05:00,10,1,NCDOT,P88,Cary Bond Park,"35.7813341, -78.825652",Sunny;,2.0,Operator,Station Blocked,,,,,,,"Station was blocked, preventing autonomous operation into/out of the designated stop station. Shuttle attendant navigated in manual mode to stop, then resumed in autonomous mode.",,,,,,
2023-03-14T04:30:00-04:00,11,2,NCDOT,P88,Cary Bond Park,"35.7852844, -78.8273693",Sunny;,2.0,Operator,Shuttle Manually Deviated From Approved Path,,,,,,Shuttle attendant operated manually outside of the NHTSA approved path.,,,,,,,Engaging manual mode to leave the garage.
2023-03-14T05:50:00-04:00,11,2,NCDOT,P88,Cary Bond Park,"35.7847973, -78.8245403",Sunny;,4.0,Operator,Station Blocked,,,,,,,"Station was blocked, preventing autonomous operation into/out of the designated stop station. Shuttle attendant navigated in manual mode to stop, then resumed in autonomous mode.",,,,,,
2023-03-14T05:55:00-04:00,11,2,NCDOT,P88,Cary Bond Park,"35.7854159, -78.8263486",Sunny;,3.0,Operator,Shuttle Manually Deviated From Approved Path,,,,,,Shuttle attendant operated manually outside of the NHTSA approved path.,,,,,,,Returned NCDOT VIPs back to the original location of the press conference.
2023-03-15T06:35:00-04:00,11,2,NCDOT,P88,Cary Bond Park,"35.7821294, -78.8226118",Sunny;,4.0,Operator,Other Road Users,,,,,,,,,A vehicle was detected as an obstacle due to close proximity to the shuttles path. Shuttle attendant navigated around vehicle in manual mode and returned to autonomous mode.,,,,
2023-03-15T07:30:00-04:00,11,2,NCDOT,P88,Cary Bond Park,"35.7819909, -78.8228092",Sunny;,4.0,Operator,Other Road Users,,,,,,,,,A vehicle was detected as an obstacle due to close proximity to the shuttles path. Shuttle attendant navigated around vehicle in manual mode and returned to autonomous mode.,,,,
2023-03-15T08:15:00-04:00,11,2,NCDOT,P88,Cary Bond Park,"35.7819909, -78.8228092",Sunny;,5.0,Operator,Other Road Users,,,,,,,,,A vehicle was detected as an obstacle due to close proximity to the shuttles path. Shuttle attendant navigated around vehicle in manual mode and returned to autonomous mode.,,,,
2023-03-15T11:25:00-04:00,11,2,NCDOT,P88,Cary Bond Park,"35.7855107, -78.8263387",Sunny;,5.0,Operator,Other Road Users,,,,,,,,,A vehicle was detected as an obstacle due to close proximity to the shuttles path. Shuttle attendant navigated around vehicle in manual mode and returned to autonomous mode.,,,,
2023-03-15T12:00:00-04:00,11,2,NCDOT,P88,Cary Bond Park,"35.7855107, -78.8263387",Sunny;,5.0,Operator,Other Road Users,,,,,,,,,A vehicle was detected as an obstacle due to close proximity to the shuttles path. Shuttle attendant navigated around vehicle in manual mode and returned to autonomous mode.,,,,
2023-03-16T06:05:00-04:00,11,2,NCDOT,P88,Cary Bond Park,"35.7841366, -78.8262063",Sunny;,3.0,Operator,Fault Code/Error Code,,,Fault Code/Error Code prevented the shuttle from autonomous operation. Shuttle attendant navigated in manual mode to next safe stop location,,,,,,,,,,V2X
2023-03-16T06:45:00-04:00,11,2,NCDOT,P88,Cary Bond Park,"35.7841366, -78.8262063",Sunny;,3.0,Operator,Fault Code/Error Code,,,Fault Code/Error Code prevented the shuttle from autonomous operation. Shuttle attendant navigated in manual mode to next safe stop location,,,,,,,,,,V2X
2023-03-16T07:05:00-04:00,11,2,NCDOT,P88,Cary Bond Park,"35.7841366, -78.8262063",Sunny;,3.0,Operator,Fault Code/Error Code,,,Fault Code/Error Code prevented the shuttle from autonomous operation. Shuttle attendant navigated in manual mode to next safe stop location,,,,,,,,,,V2X
2023-03-17T08:10:00-04:00,11,2,NCDOT,P88,Cary Bond Park,"35.7848335, -78.8260735",Sunny;,3.0,Operator,Obstacle Detection,An object was detected within the path and prevented autonomous operation. Shuttle attendant navigated around obstacle in manual mode and returned to autonomous mode.,,,,,,,,,,,,
2023-03-17T08:30:00-04:00,11,2,NCDOT,P88,Cary Bond Park,"35.7858466, -78.8264591",Sunny;,3.0,Operator,Obstacle Detection,An object was detected within the path and prevented autonomous operation. Shuttle attendant navigated around obstacle in manual mode and returned to autonomous mode.,,,,,,,,,,,,
2023-03-20T06:15:00-04:00,12,3,NCDOT,P88,Cary Bond Park,"35.784151, -78.8262153",Sunny;,3.0,Operator,Signalized Intersection,,,Fault Code/Error Code prevented the shuttle from autonomous operation. Shuttle attendant navigated in manual mode to next safe stop location,,,,,,,,,,Onboard Unit (OSU) / Roadside Unit (RDU) Miscommunication
2023-03-20T06:45:00-04:00,12,3,NCDOT,P88,Cary Bond Park,"35.784151, -78.8262153",Sunny;,3.0,Operator,Signalized Intersection,,,Fault Code/Error Code prevented the shuttle from autonomous operation. Shuttle attendant navigated in manual mode to next safe stop location,,,,,,,,,,Onboard Unit (OSU) / Roadside Unit (RDU) Miscommunication
2023-03-20T08:30:00-04:00,12,3,NCDOT,P88,Cary Bond Park,"35.7841206, -78.8261858",Sunny;,3.0,Operator,Signalized Intersection,,,Fault Code/Error Code prevented the shuttle from autonomous operation. Shuttle attendant navigated in manual mode to next safe stop location,,,,,,,,,,Onboard Unit (OSU) / Roadside Unit (RDU) Miscommunication
2023-03-20T08:55:00-04:00,12,3,NCDOT,P88,Cary Bond Park,"35.7841206, -78.8261858",Sunny;,2.0,Operator,Signalized Intersection,,,Fault Code/Error Code prevented the shuttle from autonomous operation. Shuttle attendant navigated in manual mode to next safe stop location,,,,,,,,,,Onboard Unit (OSU) / Roadside Unit (RDU) Miscommunication
2023-03-20T09:15:00-04:00,12,3,NCDOT,P88,Cary Bond Park,"35.7841206, -78.8261858",Sunny;,2.0,Operator,Signalized Intersection,,,Fault Code/Error Code prevented the shuttle from autonomous operation. Shuttle attendant navigated in manual mode to next safe stop location,,,,,,,,,,Onboard Unit (OSU) / Roadside Unit (RDU) Miscommunication
2023-03-20T10:00:00-04:00,12,3,NCDOT,P88,Cary Bond Park,"35.7841206, -78.8261858",Sunny;,3.0,Operator,Signalized Intersection,,,Fault Code/Error Code prevented the shuttle from autonomous operation. Shuttle attendant navigated in manual mode to next safe stop location,,,,,,,,,,Onboard Unit (OSU) / Roadside Unit (RDU) Miscommunication
2023-03-22T05:58:00-04:00,12,3,NCDOT,P88,Cary Bond Park,"35.7839076, -78.8261609",Cloudy;,0.0,Operator,Signalized Intersection,,,,Shuttle attendant navigated in manual to avoid stopping at green light. Shuttle attendant navigated in manual mode to next safe stop location to troubleshoot,,,,,,,,,"Waited two light cycles for shuttle to proceed autonomously, which it did not."
2023-03-22T06:05:00-04:00,12,3,NCDOT,P88,Cary Bond Park,"35.7819825, -78.823454",Cloudy;,0.0,Operator,Station Blocked,,,,,,,"Station was blocked, preventing autonomous operation into/out of the designated stop station. Shuttle attendant navigated in manual mode to stop, then resumed in autonomous mode.",,,,,,Pulled around vehicle blocking station and parked directly in front of the station.
