time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2023-03-01 00:00:00,20.0,4.9,37.0,0.0,,190.0,5.4,,1010.4,,Fair
2023-03-01 01:00:00,16.7,5.6,48.0,0.0,,0.0,0.0,,1011.9,,Fair
2023-03-01 02:00:00,13.3,5.7,60.0,0.0,,0.0,0.0,,1012.5,,Fair
2023-03-01 03:00:00,12.2,4.9,61.0,0.0,,50.0,7.6,,1012.8,,Fair
2023-03-01 04:00:00,15.0,4.4,49.0,0.0,,70.0,16.6,,1013.4,,Fair
2023-03-01 05:00:00,15.0,4.4,49.0,0.0,,70.0,16.6,,1013.4,,Fair
2023-03-01 06:00:00,13.3,7.3,67.0,0.0,,100.0,18.4,,1015.5,,Fair
2023-03-01 07:00:00,12.2,6.7,69.0,0.0,,110.0,11.2,,1015.8,,Fair
2023-03-01 08:00:00,11.7,6.6,71.0,0.0,,100.0,20.5,,1015.8,,Fair
2023-03-01 09:00:00,11.1,6.0,71.0,0.0,,90.0,16.6,,1015.9,,Clear
2023-03-01 10:00:00,10.6,6.7,77.0,0.0,,90.0,14.8,,1016.7,,Clear
2023-03-01 11:00:00,10.6,6.7,77.0,0.0,,90.0,14.8,,1016.7,,Fair
2023-03-01 12:00:00,10.6,6.7,77.0,0.0,,60.0,11.2,,1018.0,,Fair
2023-03-01 13:00:00,10.6,6.7,77.0,0.0,,60.0,11.2,,1018.0,,Cloudy
2023-03-01 14:00:00,11.1,6.6,74.0,0.0,,80.0,7.6,,1018.7,,Cloudy
2023-03-01 15:00:00,12.2,6.7,69.0,0.0,,70.0,11.2,,1018.9,,Cloudy
2023-03-01 16:00:00,15.6,8.3,62.0,0.0,,0.0,0.0,,1018.0,,Cloudy
2023-03-01 17:00:00,17.2,10.1,63.0,0.0,,0.0,7.6,,1017.3,,Cloudy
2023-03-01 18:00:00,19.4,10.1,55.0,0.0,,0.0,0.0,,1016.0,,Cloudy
2023-03-01 19:00:00,19.4,10.1,55.0,0.0,,0.0,0.0,,1016.0,,Cloudy
2023-03-01 20:00:00,20.0,10.7,55.0,0.0,,200.0,9.4,,1014.5,,Cloudy
2023-03-01 21:00:00,19.4,10.7,57.0,0.0,,260.0,5.4,,1014.4,,Cloudy
2023-03-01 22:00:00,18.3,10.6,61.0,0.0,,0.0,0.0,,1014.5,,Overcast
2023-03-01 23:00:00,16.7,10.5,67.0,0.0,,0.0,0.0,,1014.4,,Overcast
2023-03-02 00:00:00,16.7,10.5,67.0,0.0,,0.0,0.0,,1014.4,,Overcast
2023-03-02 01:00:00,15.6,10.6,72.0,0.0,,0.0,0.0,,1013.0,,Overcast
2023-03-02 02:00:00,13.3,10.7,84.0,0.0,,0.0,0.0,,1012.5,,Cloudy
2023-03-02 03:00:00,15.6,11.2,75.0,0.0,,0.0,5.4,,1011.5,,Cloudy
2023-03-02 04:00:00,15.6,11.2,75.0,0.0,,196.0,5.4,,1011.5,,Overcast
2023-03-02 05:00:00,15.6,11.8,78.0,0.0,,0.0,0.0,,1009.9,,Overcast
2023-03-02 06:00:00,15.6,11.8,78.0,0.0,,0.0,0.0,,1009.9,,Overcast
2023-03-02 07:00:00,16.1,11.7,75.0,0.0,,0.0,0.0,,1008.1,,Light Rain
2023-03-02 08:00:00,16.1,11.7,75.0,0.0,,0.0,0.0,,1008.1,,Rain
2023-03-02 09:00:00,15.0,12.1,83.0,1.4,,0.0,0.0,,1007.9,,Heavy Rain
2023-03-02 10:00:00,15.0,13.9,93.0,7.4,,0.0,0.0,,1008.4,,Heavy Rain
2023-03-02 11:00:00,15.0,14.4,96.0,3.6,,240.0,7.6,,1009.0,,Heavy Rain
2023-03-02 12:00:00,15.0,13.9,93.0,2.8,,350.0,5.4,,1009.7,,Heavy Rain
2023-03-02 13:00:00,15.6,14.5,93.0,1.5,,0.0,0.0,,1008.6,,Heavy Rain
2023-03-02 14:00:00,17.2,15.0,87.0,0.5,,210.0,7.6,,1008.2,,Rain
2023-03-02 15:00:00,17.8,15.6,87.0,0.0,,250.0,11.2,,1008.8,,Light Rain
2023-03-02 16:00:00,17.8,15.6,87.0,0.0,,250.0,11.2,,1008.8,,Overcast
2023-03-02 17:00:00,18.9,15.6,81.0,0.0,,230.0,7.6,,1008.4,,Overcast
2023-03-02 18:00:00,18.9,15.0,78.0,0.0,,250.0,9.4,,1008.0,,Overcast
2023-03-02 19:00:00,18.9,15.0,78.0,0.0,,260.0,7.6,,1008.2,,Overcast
2023-03-02 20:00:00,18.9,15.0,78.0,0.0,,260.0,7.6,,1008.2,,Overcast
2023-03-02 21:00:00,18.3,14.4,78.0,0.0,,210.0,13.0,,1007.3,,Overcast
2023-03-02 22:00:00,17.8,14.5,81.0,0.0,,300.0,5.4,,1009.4,,Overcast
